PTGES3,PTHR22932:SF3,PTHR22932
RXFP2,PTHR24372:SF72,PTHR24372
SLC35E4,PTHR11132:SF293,PTHR11132
AADACL3,PTHR23024:SF115,PTHR23024
FOXN3,PTHR13962:SF20,PTHR13962
CYP2C19,PTHR24300:SF360,PTHR24300
NCF1B,PTHR15706:SF6,PTHR15706
NME8,PTHR46135:SF2,PTHR46135
KRTAP4-11,PTHR23262:SF183,PTHR23262
RAB17,PTHR24073:SF912,PTHR24073
TXNDC17,PTHR12452:SF0,PTHR12452
TRAV18,PTHR19367:SF18,PTHR19367
TBC1D32,PTHR13465:SF3,PTHR13465
NPY4R2,PTHR24235:SF25,PTHR24235
KNSTRN,PTHR31940:SF2,PTHR31940
MBD3,PTHR12396:SF12,PTHR12396
DEDD2,PTHR15205:SF1,PTHR15205
MS4A18,PTHR23320:SF37,PTHR23320
TEKT2,PTHR19960:SF29,PTHR19960
ACTG2,PTHR11937:SF201,PTHR11937
PBX4,PTHR11850:SF98,PTHR11850
SLC17A5,PTHR11662:SF432,PTHR11662
DPYD,PTHR43073:SF2,PTHR43073
TOM1,PTHR13856:SF32,PTHR13856
DEFB113,PTHR39411:SF1,PTHR39411
U2AF1L4,PTHR12620:SF3,PTHR12620
PGP,PTHR19288:SF92,PTHR19288
ANKRD33B,PTHR24173:SF1,PTHR24173
ALG14,PTHR12154:SF4,PTHR12154
SCD5,PTHR11351:SF31,PTHR11351
ISG20,PTHR12801:SF59,PTHR12801
SCT,PTHR17378:SF1,PTHR17378
GPR15,PTHR24228:SF10,PTHR24228
PACRGL,PTHR21207:SF1,PTHR21207
CEP76,PTHR46436:SF1,PTHR46436
PPTC7,PTHR12320:SF81,PTHR12320
MTIF2,PTHR43381:SF5,PTHR43381
SLC25A24,PTHR24089:SF262,PTHR24089
CSF1R,PTHR24416:SF47,PTHR24416
ZSCAN18,PTHR23226:SF157,PTHR23226
IQCF6,PTHR21633:SF15,PTHR21633
MRPL18,PTHR12899:SF3,PTHR12899
CALCA,PTHR10505:SF16,PTHR10505
KRTAP27-1,PTHR19051:SF34,PTHR19051
OR2M7,PTHR26453:SF314,PTHR26453
PRAMEF7,PTHR14224:SF30,PTHR14224
OR51B4,PTHR26450:SF154,PTHR26450
AMELX,PTHR46794:SF5,PTHR46794
APBB2,PTHR14058:SF11,PTHR14058
BNIP3L,PTHR15186:SF3,PTHR15186
QRFP,PTHR36476:SF1,PTHR36476
TOPORS,PTHR46077:SF2,PTHR46077
CYP4A22,PTHR24291:SF39,PTHR24291
PCDHB8,PTHR24028:SF61,PTHR24028
MBTD1,PTHR12247:SF79,PTHR12247
ERVK-24,PTHR40389:SF2,PTHR40389
ZC3H11B,PTHR15725:SF13,PTHR15725
RBMY1C,PTHR48034:SF17,PTHR48034
HSFX2,PTHR10015:SF282,PTHR10015
RAP1B,PTHR24070:SF393,PTHR24070
DRD2,PTHR24248:SF87,PTHR24248
CEP131,PTHR31540:SF1,PTHR31540
GPR32P1,PTHR24225:SF27,PTHR24225
ZBTB20,PTHR24399:SF19,PTHR24399
RPL11,PTHR11994:SF23,PTHR11994
TRIM33,PTHR45915:SF3,PTHR45915
LRRC10B,PTHR16083:SF6,PTHR16083
WT1,PTHR23235:SF49,PTHR23235
DLAT,PTHR23151:SF90,PTHR23151
IGHV3-72,PTHR23266:SF369,PTHR23266
EMD,PTHR15171:SF2,PTHR15171
NDUFA7,PTHR12485:SF1,PTHR12485
DSCAM,PTHR10075:SF51,PTHR10075
ESCO1,PTHR45884:SF1,PTHR45884
HPCA,PTHR23055:SF57,PTHR23055
ABCB4,PTHR24221:SF241,PTHR24221
DUSP12,PTHR45848:SF4,PTHR45848
SIRPG,PTHR19971:SF6,PTHR19971
DLG4,PTHR23119:SF33,PTHR23119
SPIN3,PTHR10405:SF33,PTHR10405
FGD6,PTHR12673:SF12,PTHR12673
RAB21,PTHR24073:SF509,PTHR24073
PRDM2,PTHR16515:SF37,PTHR16515
RAP2A,PTHR24070:SF221,PTHR24070
CACNG6,PTHR15025:SF6,PTHR15025
TNIP1,PTHR31882:SF3,PTHR31882
ZNF75CP,PTHR23226:SF142,PTHR23226
CAMKMT,PTHR13539:SF3,PTHR13539
TREH,PTHR23403:SF1,PTHR23403
OSR2,PTHR14196:SF4,PTHR14196
CCDC154,PTHR35153:SF1,PTHR35153
HSPB1,PTHR45640:SF7,PTHR45640
CBR3,PTHR43963:SF3,PTHR43963
PLA2G4E,PTHR10728:SF24,PTHR10728
KCNB2,PTHR11537:SF134,PTHR11537
PGK2,PTHR11406:SF10,PTHR11406
CDC42BPB,PTHR22988:SF34,PTHR22988
POLR3A,PTHR19376:SF32,PTHR19376
NPAS3,PTHR23043:SF30,PTHR23043
LITAFD,PTHR23292:SF27,PTHR23292
DBX2,PTHR24331:SF4,PTHR24331
MME,PTHR11733:SF114,PTHR11733
ACTL9,PTHR11937:SF194,PTHR11937
ACTRT2,PTHR11937:SF38,PTHR11937
SLC35D1,PTHR11132:SF247,PTHR11132
TCEA2,PTHR11477:SF3,PTHR11477
ZNF750,PTHR14678:SF1,PTHR14678
CCDC150,PTHR35352:SF1,PTHR35352
PCDHAC1,PTHR24028:SF153,PTHR24028
SAP30BP,PTHR13464:SF0,PTHR13464
NDUFA9,PTHR12126:SF10,PTHR12126
HSD11B1,PTHR44279:SF1,PTHR44279
CHTOP,PTHR19965:SF22,PTHR19965
PTTG2,PTHR10418:SF8,PTHR10418
TRAPPC14,PTHR16096:SF8,PTHR16096
RNF151,PTHR15315:SF64,PTHR15315
FKBP1B,PTHR10516:SF429,PTHR10516
IFNA14,PTHR11691:SF67,PTHR11691
TTC29,PTHR46630:SF1,PTHR46630
PCGF1,PTHR10825:SF29,PTHR10825
EDIL3,PTHR24543:SF325,PTHR24543
ARAP2,PTHR45899:SF1,PTHR45899
GVQW1,PTHR46254:SF3,PTHR46254
MRPS11,PTHR11759:SF3,PTHR11759
LARP4B,PTHR22792:SF43,PTHR22792
TMEM132B,PTHR13388:SF12,PTHR13388
OBSL1,PTHR35971:SF6,PTHR35971
LANCL3,PTHR12736:SF7,PTHR12736
MAP2K1,PTHR48013:SF5,PTHR48013
SYNPO2L,PTHR24217:SF10,PTHR24217
USP45,PTHR21646:SF34,PTHR21646
APOL5,PTHR14096:SF6,PTHR14096
SNUPN,PTHR13403:SF6,PTHR13403
CD1A,PTHR16675:SF160,PTHR16675
PRRT1,PTHR14948:SF21,PTHR14948
AKAP11,PTHR10226:SF3,PTHR10226
HUS1B,PTHR12900:SF3,PTHR12900
KIF25,PTHR24115:SF421,PTHR24115
STING1,PTHR34339:SF1,PTHR34339
ZNF737,PTHR24384:SF128,PTHR24384
ZMIZ2,PTHR10782:SF38,PTHR10782
FEN1,PTHR11081:SF58,PTHR11081
UTP11,PTHR12838:SF0,PTHR12838
CXCR3,PTHR10489:SF671,PTHR10489
PDGFD,PTHR11633:SF4,PTHR11633
OSBPL7,PTHR10972:SF85,PTHR10972
VEZF1,PTHR24379:SF75,PTHR24379
MED31,PTHR13186:SF0,PTHR13186
BMP1,PTHR10127:SF863,PTHR10127
CHEK1,PTHR24343:SF424,PTHR24343
CD2,PTHR12080:SF54,PTHR12080
TRAV1-1,PTHR19433:SF105,PTHR19433
DENND6B,PTHR13677:SF2,PTHR13677
PIK3C3,PTHR10048:SF7,PTHR10048
C15orf62,PTHR15344:SF8,PTHR15344
ACSL1,PTHR43272:SF28,PTHR43272
BCL2L15,PTHR36466:SF1,PTHR36466
RAB40A,PTHR47980:SF43,PTHR47980
OR56A4,PTHR26450:SF424,PTHR26450
PDIA4,PTHR18929:SF210,PTHR18929
C17orf113,PTHR46880:SF6,PTHR46880
IRX5,PTHR11211:SF17,PTHR11211
ZC3H18,PTHR46582:SF1,PTHR46582
BPI,PTHR10504:SF84,PTHR10504
CERCAM,PTHR10730:SF9,PTHR10730
MEP1B,PTHR10127:SF814,PTHR10127
SF1,PTHR11208:SF45,PTHR11208
KTI12,PTHR12435:SF2,PTHR12435
PRAMEF18,PTHR14224:SF79,PTHR14224
SNX27,PTHR12431:SF19,PTHR12431
PTPN6,PTHR46257:SF4,PTHR46257
TIMELESS,PTHR22940:SF4,PTHR22940
ABHD12,PTHR12277:SF61,PTHR12277
SLC12A3,PTHR11827:SF9,PTHR11827
GCDH,PTHR42807:SF1,PTHR42807
KLRC2,PTHR22800:SF247,PTHR22800
PAN3,PTHR12272:SF11,PTHR12272
TRAF3IP2,PTHR34257:SF2,PTHR34257
MYL2,PTHR23049:SF9,PTHR23049
BHLHE23,PTHR19290:SF53,PTHR19290
KXD1,PTHR13511:SF0,PTHR13511
TUBA3E,PTHR11588:SF322,PTHR11588
COX8C,PTHR16717:SF2,PTHR16717
WDR48,PTHR19862:SF14,PTHR19862
OR52I2,PTHR26450:SF177,PTHR26450
NHLH2,PTHR13864:SF19,PTHR13864
KCNK6,PTHR11003:SF28,PTHR11003
RPS6KB1,PTHR24351:SF48,PTHR24351
ILK,PTHR44329:SF57,PTHR44329
SIRT2,PTHR47651:SF11,PTHR47651
DIAPH2,PTHR45691:SF3,PTHR45691
AATF,PTHR15565:SF0,PTHR15565
SEMA3F,PTHR11036:SF27,PTHR11036
SLC27A4,PTHR43107:SF11,PTHR43107
RAB43,PTHR24073:SF653,PTHR24073
OR2AG2,PTHR26453:SF312,PTHR26453
TRBV7-4,PTHR23268:SF20,PTHR23268
FBXO27,PTHR12125:SF9,PTHR12125
ARHGAP35,PTHR46005:SF1,PTHR46005
PREX2,PTHR22829:SF1,PTHR22829
CALCOCO1,PTHR31915:SF5,PTHR31915
PRELID1,PTHR11158:SF31,PTHR11158
HELT,PTHR10985:SF8,PTHR10985
WDR93,PTHR12219:SF17,PTHR12219
RAB11FIP1,PTHR15746:SF22,PTHR15746
TNFRSF1B,PTHR47386:SF1,PTHR47386
GUCA2B,PTHR11318:SF4,PTHR11318
ACSM1,PTHR43605:SF5,PTHR43605
DDX28,PTHR24031:SF421,PTHR24031
C1GALT1,PTHR23033:SF13,PTHR23033
ACSM2A,PTHR43605:SF14,PTHR43605
GRIA4,PTHR18966:SF100,PTHR18966
GPNMB,PTHR11861:SF11,PTHR11861
CBLIF,PTHR10559:SF15,PTHR10559
ELMO2,PTHR12771:SF8,PTHR12771
BCL2L10,PTHR11256:SF47,PTHR11256
TTC39A,PTHR31859:SF3,PTHR31859
ESCO2,PTHR45884:SF3,PTHR45884
ADAMTS2,PTHR13723:SF141,PTHR13723
BRD4,PTHR45926:SF39,PTHR45926
FASN,PTHR43775:SF7,PTHR43775
ARHGAP40,PTHR14963:SF4,PTHR14963
KRT83,PTHR45616:SF55,PTHR45616
MINAR1,PTHR31530:SF2,PTHR31530
FRAT1,PTHR35154:SF1,PTHR35154
ZNF579,PTHR24383:SF14,PTHR24383
HGSNAT,PTHR31061:SF37,PTHR31061
FAM83C,PTHR16181:SF24,PTHR16181
AQP10,PTHR43829:SF13,PTHR43829
CCDC125,PTHR28616:SF1,PTHR28616
POU2F1,PTHR11636:SF47,PTHR11636
GAGE5,PTHR14047:SF30,PTHR14047
IGFL3,PTHR34827:SF5,PTHR34827
UBL7,PTHR10677:SF25,PTHR10677
SHC3,PTHR10337:SF4,PTHR10337
EN1,PTHR24341:SF4,PTHR24341
AHDC1,PTHR15617:SF1,PTHR15617
H2AC21,PTHR23430:SF72,PTHR23430
GJA3,PTHR11984:SF12,PTHR11984
COPS8,PTHR13339:SF0,PTHR13339
EPS8L2,PTHR12287:SF20,PTHR12287
IFNA16,PTHR11691:SF71,PTHR11691
FAM193B,PTHR15109:SF3,PTHR15109
HNRNPCL1,PTHR13968:SF17,PTHR13968
CCDC57,PTHR46725:SF1,PTHR46725
IGHV2-5,PTHR23266:SF259,PTHR23266
GYS1,PTHR10176:SF2,PTHR10176
GNB5,PTHR19850:SF36,PTHR19850
TCOF1,PTHR20787:SF10,PTHR20787
KIF3C,PTHR24115:SF734,PTHR24115
ATG9B,PTHR13038:SF14,PTHR13038
INSIG1,PTHR15301:SF11,PTHR15301
TRAV27,PTHR19433:SF135,PTHR19433
UBE2Z,PTHR46116:SF26,PTHR46116
HERC6,PTHR45622:SF11,PTHR45622
ABT1,PTHR12311:SF7,PTHR12311
RASA4,PTHR10194:SF4,PTHR10194
CLDN20,PTHR12002:SF17,PTHR12002
WTIP,PTHR24219:SF6,PTHR24219
FAM90A22P,PTHR16035:SF14,PTHR16035
IL11,PTHR16922:SF0,PTHR16922
CSAD,PTHR45677:SF8,PTHR45677
ALDH1A3,PTHR11699:SF209,PTHR11699
VSIR,PTHR44819:SF1,PTHR44819
LRFN1,PTHR45842:SF7,PTHR45842
NME9,PTHR46135:SF1,PTHR46135
SERPINE3,PTHR11461:SF129,PTHR11461
UBE2A,PTHR24067:SF243,PTHR24067
NOVA2,PTHR10288:SF162,PTHR10288
NR2F6,PTHR24083:SF44,PTHR24083
DEF8,PTHR12326:SF3,PTHR12326
LRP2BP,PTHR44554:SF1,PTHR44554
DAZL,PTHR11176:SF4,PTHR11176
CYRIB,PTHR12422:SF3,PTHR12422
DNAJC19,PTHR12763:SF56,PTHR12763
MFSD8,PTHR23510:SF3,PTHR23510
APTX,PTHR12486:SF4,PTHR12486
ACTRT1,PTHR11937:SF153,PTHR11937
DEPDC7,PTHR16206:SF9,PTHR16206
OR5AR1,PTHR26452:SF315,PTHR26452
ZNF556,PTHR24381:SF160,PTHR24381
TRAPPC5,PTHR20902:SF0,PTHR20902
ADAMTS12,PTHR13723:SF189,PTHR13723
KRTAP19-8,PTHR38140:SF3,PTHR38140
MRPL57,PTHR14520:SF4,PTHR14520
TBXA2R,PTHR11866:SF5,PTHR11866
PARVG,PTHR12114:SF1,PTHR12114
GPAA1,PTHR13304:SF0,PTHR13304
ARHGEF11,PTHR45872:SF1,PTHR45872
ZNF507,PTHR24403:SF74,PTHR24403
HACD4,PTHR11035:SF16,PTHR11035
NOP9,PTHR13102:SF0,PTHR13102
OR2T6,PTHR26453:SF57,PTHR26453
RGS19,PTHR10845:SF145,PTHR10845
C1orf216,PTHR35673:SF1,PTHR35673
AMER1,PTHR22237:SF0,PTHR22237
POGZ,PTHR24403:SF59,PTHR24403
NT5C2,PTHR12103:SF17,PTHR12103
ATP4B,PTHR11523:SF11,PTHR11523
LACC1,PTHR30616:SF2,PTHR30616
MRFAP1L1,PTHR31324:SF2,PTHR31324
EXTL1,PTHR11062:SF8,PTHR11062
IGLV2-18,PTHR23267:SF491,PTHR23267
TMEM106B,PTHR28556:SF1,PTHR28556
ADAMTS6,PTHR13723:SF27,PTHR13723
HPS6,PTHR14696:SF2,PTHR14696
TIMM10,PTHR11038:SF16,PTHR11038
SLC2A11,PTHR23503:SF22,PTHR23503
CYP4B1,PTHR24291:SF149,PTHR24291
RAPSN,PTHR46574:SF1,PTHR46574
SIDT1,PTHR12185:SF15,PTHR12185
RBMY1J,PTHR48034:SF17,PTHR48034
PSKH1,PTHR24347:SF254,PTHR24347
HEPHL1,PTHR11709:SF233,PTHR11709
PRDM6,PTHR16515:SF22,PTHR16515
COL11A1,PTHR24023:SF42,PTHR24023
HBA2,PTHR11442:SF48,PTHR11442
TRIM45,PTHR25462:SF291,PTHR25462
FBXL3,PTHR16134:SF5,PTHR16134
PRR19,PTHR37346:SF1,PTHR37346
ZNF862,PTHR46880:SF3,PTHR46880
SFTPA1,PTHR24024:SF13,PTHR24024
MAP7D2,PTHR15073:SF3,PTHR15073
TMEM88B,PTHR28628:SF2,PTHR28628
RPL27,PTHR10497:SF11,PTHR10497
TMEM141,PTHR47229:SF1,PTHR47229
PROSER2,PTHR16095:SF9,PTHR16095
NFS1,PTHR11601:SF34,PTHR11601
DERL1,PTHR11009:SF1,PTHR11009
ZNF425,PTHR24381:SF408,PTHR24381
ZNF469,PTHR21465:SF2,PTHR21465
PITHD1,PTHR12175:SF1,PTHR12175
CSPG5,PTHR15381:SF1,PTHR15381
DENND2D,PTHR15288:SF2,PTHR15288
OR10J3,PTHR26451:SF28,PTHR26451
MRPL48,PTHR13473:SF0,PTHR13473
H2AC14,PTHR23430:SF378,PTHR23430
L3MBTL1,PTHR12247:SF69,PTHR12247
MAX,PTHR10328:SF3,PTHR10328
PLIN4,PTHR47538:SF1,PTHR47538
CKB,PTHR11547:SF23,PTHR11547
KIAA1958,PTHR46963:SF1,PTHR46963
MON2,PTHR10663:SF333,PTHR10663
TRAFD1,PTHR16295:SF19,PTHR16295
USP9X,PTHR24006:SF897,PTHR24006
AVL9,PTHR31017:SF1,PTHR31017
IMPACT,PTHR16301:SF25,PTHR16301
RLN1,PTHR12004:SF14,PTHR12004
PLEKHB1,PTHR14309:SF7,PTHR14309
DUS4L,PTHR11082:SF31,PTHR11082
PRR36,PTHR22427:SF8,PTHR22427
NGEF,PTHR12845:SF8,PTHR12845
MCM8,PTHR11630:SF47,PTHR11630
UBE4B,PTHR13931:SF2,PTHR13931
ZNF233,PTHR24377:SF705,PTHR24377
GIPR,PTHR45620:SF5,PTHR45620
DDB2,PTHR15169:SF0,PTHR15169
ADAD2,PTHR10910:SF106,PTHR10910
FAM3D,PTHR14592:SF9,PTHR14592
PNLDC1,PTHR15092:SF22,PTHR15092
P2RX3,PTHR10125:SF8,PTHR10125
PLPP5,PTHR10165:SF87,PTHR10165
DDX31,PTHR24031:SF89,PTHR24031
RPS19,PTHR11710:SF31,PTHR11710
CHIC1,PTHR13005:SF2,PTHR13005
TTC21A,PTHR14699:SF2,PTHR14699
DUX4L9,PTHR46123:SF3,PTHR46123
CEP104,PTHR13371:SF0,PTHR13371
OR2B6,PTHR26453:SF202,PTHR26453
ZNF724,PTHR24384:SF201,PTHR24384
TMEM178A,PTHR32005:SF4,PTHR32005
TMBIM4,PTHR23291:SF50,PTHR23291
MOG,PTHR24100:SF71,PTHR24100
CSTF1,PTHR44133:SF2,PTHR44133
CNTROB,PTHR34439:SF1,PTHR34439
OBP2B,PTHR11430:SF129,PTHR11430
MTTP,PTHR13024:SF1,PTHR13024
PXMP2,PTHR11266:SF80,PTHR11266
B4GALNT3,PTHR12369:SF15,PTHR12369
FAXDC2,PTHR11863:SF226,PTHR11863
TRAM1,PTHR12371:SF3,PTHR12371
MMP3,PTHR10201:SF215,PTHR10201
ADIPOQ,PTHR15427:SF20,PTHR15427
IGHV3-43D,PTHR23266:SF236,PTHR23266
OSBP2,PTHR10972:SF194,PTHR10972
TEX55,PTHR47110:SF1,PTHR47110
NACAD,PTHR21713:SF1,PTHR21713
LZTS2,PTHR19354:SF4,PTHR19354
TM2D1,PTHR21016:SF1,PTHR21016
SF3B2,PTHR12785:SF6,PTHR12785
PLEKHM1,PTHR12326:SF5,PTHR12326
DMTF1,PTHR46380:SF2,PTHR46380
ABCA3,PTHR19229:SF98,PTHR19229
FGD5,PTHR12673:SF13,PTHR12673
KRTAP5-11,PTHR23262:SF134,PTHR23262
SLFN11,PTHR12155:SF45,PTHR12155
SEC14L5,PTHR23324:SF39,PTHR23324
CCDC115,PTHR31996:SF2,PTHR31996
RDH8,PTHR43391:SF8,PTHR43391
EPHB6,PTHR46877:SF15,PTHR46877
PIP5K1B,PTHR23086:SF34,PTHR23086
CSTB,PTHR11414:SF22,PTHR11414
KCNH6,PTHR10217:SF468,PTHR10217
CENATAC,PTHR31198:SF1,PTHR31198
KCTD17,PTHR14958:SF24,PTHR14958
CFAP410,PTHR18849:SF0,PTHR18849
PAQR6,PTHR20855:SF39,PTHR20855
NRIP1,PTHR15088:SF0,PTHR15088
ZNF670,PTHR24377:SF979,PTHR24377
DLL1,PTHR24044:SF380,PTHR24044
IGLV3-1,PTHR23267:SF315,PTHR23267
POLR3GL,PTHR15367:SF4,PTHR15367
ZDHHC12,PTHR22883:SF435,PTHR22883
PLD1,PTHR18896:SF57,PTHR18896
UACA,PTHR24173:SF23,PTHR24173
ZNF18,PTHR23226:SF190,PTHR23226
SUPT5H,PTHR11125:SF7,PTHR11125
DHODH,PTHR48109:SF4,PTHR48109
BPNT1,PTHR43028:SF5,PTHR43028
MT1M,PTHR23299:SF48,PTHR23299
UBN2,PTHR21669:SF10,PTHR21669
RBM39,PTHR48036:SF10,PTHR48036
OPRD1,PTHR24229:SF2,PTHR24229
NIT1,PTHR23088:SF27,PTHR23088
CCS,PTHR10003:SF86,PTHR10003
OPCML,PTHR42757:SF17,PTHR42757
PPIAL4G,PTHR11071:SF466,PTHR11071
IGHV4OR15-8,PTHR23266:SF387,PTHR23266
TBC1D8B,PTHR22957:SF320,PTHR22957
ADGRA1,PTHR45930:SF3,PTHR45930
NUTF2,PTHR12612:SF46,PTHR12612
EML3,PTHR13720:SF15,PTHR13720
ISM1,PTHR10239:SF30,PTHR10239
NICN1,PTHR31239:SF4,PTHR31239
MAP4,PTHR11501:SF16,PTHR11501
PGBD1,PTHR47055:SF1,PTHR47055
EFCAB10,PTHR21847:SF1,PTHR21847
TFAP2E,PTHR10812:SF13,PTHR10812
KIAA0513,PTHR13663:SF2,PTHR13663
TAT,PTHR45744:SF2,PTHR45744
CYHR1,PTHR23059:SF4,PTHR23059
CLIC3,PTHR43920:SF3,PTHR43920
SMG5,PTHR15696:SF7,PTHR15696
DHRS1,PTHR44147:SF2,PTHR44147
GCM1,PTHR12414:SF6,PTHR12414
ATM,PTHR11139:SF72,PTHR11139
NBPF3,PTHR14199:SF45,PTHR14199
SGPP1,PTHR14969:SF45,PTHR14969
MED18,PTHR13321:SF2,PTHR13321
CAPN9,PTHR10183:SF385,PTHR10183
CYB5R2,PTHR19370:SF108,PTHR19370
YPEL4,PTHR13848:SF17,PTHR13848
PAX4,PTHR45636:SF8,PTHR45636
NOXO1,PTHR15706:SF10,PTHR15706
NELFB,PTHR13503:SF3,PTHR13503
PPP2R5E,PTHR10257:SF80,PTHR10257
MUC19,PTHR47246:SF1,PTHR47246
ABCA7,PTHR19229:SF49,PTHR19229
UGT2B11,PTHR48043:SF86,PTHR48043
INO80D,PTHR16198:SF2,PTHR16198
NCOR2,PTHR13992:SF21,PTHR13992
CNTN5,PTHR44170:SF17,PTHR44170
LRRC3B,PTHR24373:SF276,PTHR24373
PARL,PTHR43731:SF31,PTHR43731
C6,PTHR45742:SF4,PTHR45742
ANO1,PTHR12308:SF13,PTHR12308
HIGD1C,PTHR12297:SF10,PTHR12297
H2AC8,PTHR23430:SF196,PTHR23430
EDAR,PTHR12120:SF9,PTHR12120
TRAIP,PTHR46569:SF1,PTHR46569
PRUNE1,PTHR12112:SF47,PTHR12112
ATP6V1E1,PTHR45715:SF2,PTHR45715
ATF7,PTHR19304:SF10,PTHR19304
COG2,PTHR12961:SF0,PTHR12961
FOXE3,PTHR11829:SF156,PTHR11829
R3HDML,PTHR10334:SF62,PTHR10334
ZNF461,PTHR24377:SF277,PTHR24377
SLC22A11,PTHR24064:SF241,PTHR24064
AFM,PTHR11385:SF14,PTHR11385
ACP1,PTHR11717:SF7,PTHR11717
ZNF705B,PTHR24381:SF303,PTHR24381
SMCO1,PTHR35979:SF1,PTHR35979
MXRA7,PTHR21845:SF2,PTHR21845
CD151,PTHR19282:SF487,PTHR19282
TBK1,PTHR22969:SF14,PTHR22969
TRIM38,PTHR24103:SF47,PTHR24103
ZNF77,PTHR24381:SF361,PTHR24381
MCM2,PTHR11630:SF44,PTHR11630
GON7,PTHR37363:SF1,PTHR37363
ENOPH1,PTHR20371:SF3,PTHR20371
RNASE12,PTHR11437:SF20,PTHR11437
SCN5A,PTHR45628:SF18,PTHR45628
SMAD4,PTHR13703:SF63,PTHR13703
HMGCL,PTHR42738:SF1,PTHR42738
ARL9,PTHR46724:SF2,PTHR46724
NMS,PTHR32414:SF2,PTHR32414
SDSL,PTHR48078:SF16,PTHR48078
CALML5,PTHR23050:SF224,PTHR23050
SGCZ,PTHR12939:SF5,PTHR12939
NME2P1,PTHR11349:SF68,PTHR11349
ZBTB18,PTHR24394:SF18,PTHR24394
SOX1,PTHR10270:SF40,PTHR10270
PLEKHG6,PTHR47671:SF1,PTHR47671
USP17L22,PTHR24006:SF651,PTHR24006
HLA-DMA,PTHR19944:SF50,PTHR19944
FRAS1,PTHR45739:SF1,PTHR45739
SEC23B,PTHR11141:SF10,PTHR11141
FHIP2B,PTHR21705:SF9,PTHR21705
SMIM11B,PTHR35975:SF2,PTHR35975
CR1L,PTHR19325:SF534,PTHR19325
CRYAA2,PTHR45640:SF14,PTHR45640
TARBP2,PTHR46205:SF1,PTHR46205
TTC14,PTHR23184:SF9,PTHR23184
SGO2,PTHR21577:SF3,PTHR21577
GPR4,PTHR24232:SF36,PTHR24232
SLC9B2,PTHR31102:SF14,PTHR31102
POC5,PTHR28618:SF1,PTHR28618
IQCF2,PTHR21633:SF4,PTHR21633
SP110,PTHR46386:SF7,PTHR46386
ZNF280B,PTHR24388:SF56,PTHR24388
SLC25A3,PTHR45671:SF10,PTHR45671
EEF1A2,PTHR23115:SF228,PTHR23115
VSTM2A,PTHR12207:SF23,PTHR12207
CHERP,PTHR12323:SF0,PTHR12323
ARAP1,PTHR45899:SF3,PTHR45899
PGM2,PTHR45745:SF3,PTHR45745
COPS4,PTHR10855:SF2,PTHR10855
TSPOAP1,PTHR14234:SF20,PTHR14234
ORC2,PTHR14052:SF0,PTHR14052
POLR2M,PTHR23171:SF5,PTHR23171
CTSL,PTHR12411:SF902,PTHR12411
NAGS,PTHR23342:SF0,PTHR23342
SMARCAL1,PTHR45766:SF3,PTHR45766
JAML,PTHR13869:SF22,PTHR13869
UBA7,PTHR10953:SF143,PTHR10953
ANXA13,PTHR10502:SF175,PTHR10502
VAV2,PTHR45818:SF4,PTHR45818
SDCBP2,PTHR12345:SF13,PTHR12345
KCNJ5,PTHR11767:SF52,PTHR11767
TIFA,PTHR31266:SF2,PTHR31266
ZG16B,PTHR33589:SF1,PTHR33589
IRF7,PTHR11949:SF2,PTHR11949
PSME2,PTHR10660:SF6,PTHR10660
SKOR2,PTHR10005:SF7,PTHR10005
C11orf71,PTHR16445:SF0,PTHR16445
RWDD3,PTHR15955:SF8,PTHR15955
EIF3B,PTHR14068:SF0,PTHR14068
SIPA1,PTHR15711:SF14,PTHR15711
FHAD1,PTHR18853:SF7,PTHR18853
IGLV7-46,PTHR23267:SF464,PTHR23267
ANG,PTHR11437:SF60,PTHR11437
OR4C45,PTHR48002:SF75,PTHR48002
TRIM2,PTHR24104:SF44,PTHR24104
OR51F1,PTHR26450:SF46,PTHR26450
TRUB1,PTHR13767:SF2,PTHR13767
ERC1,PTHR18861:SF1,PTHR18861
OR51I1,PTHR26450:SF66,PTHR26450
CMTM1,PTHR22776:SF43,PTHR22776
RPL36AL,PTHR10369:SF45,PTHR10369
LMO7DN,PTHR12138:SF129,PTHR12138
LGALS9C,PTHR11346:SF80,PTHR11346
RASGEF1C,PTHR23113:SF186,PTHR23113
ZNF276,PTHR24406:SF3,PTHR24406
PPP1CC,PTHR11668:SF204,PTHR11668
FSCN3,PTHR10551:SF1,PTHR10551
ACOT9,PTHR12655:SF0,PTHR12655
SPATA16,PTHR47228:SF1,PTHR47228
FAM89B,PTHR46949:SF2,PTHR46949
TXNRD1,PTHR48105:SF7,PTHR48105
DDX11,PTHR11472:SF41,PTHR11472
SH2D3A,PTHR14247:SF11,PTHR14247
PRR14,PTHR14522:SF2,PTHR14522
SNAPIN,PTHR31305:SF2,PTHR31305
CD109,PTHR11412:SF162,PTHR11412
DCXR,PTHR44252:SF2,PTHR44252
TSR2,PTHR21250:SF0,PTHR21250
SNX25,PTHR22775:SF29,PTHR22775
FGF11,PTHR11486:SF67,PTHR11486
PKN1,PTHR24356:SF246,PTHR24356
ZNF567,PTHR24404:SF41,PTHR24404
NINL,PTHR18905:SF12,PTHR18905
USP51,PTHR21646:SF38,PTHR21646
ACTL10,PTHR11937:SF183,PTHR11937
