"","pair","N","Y","gene1","gene2","Ours","HCT116.gi","GM12878.gi","Dede","A549.gi","HT29.gi","OVCAR8.gi","Phoebe","PC9.gi","HeLa.gi","Nicola","A375.gi","Mewo.gi","RPE1.gi","report","sum","cells","half","robust"
"501","WDR20.DMWD",5,0,"WDR20","DMWD",NA,NA,NA,"others","N","N","N","others","N","N",NA,NA,NA,NA,"novel",5,"4-6 cell lines","",""
"502","WDR62.MAPKBP1",5,0,"WDR62","MAPKBP1","others","N","N",NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",5,"4-6 cell lines","",""
"503","YIPF7.YIPF5",5,0,"YIPF7","YIPF5",NA,NA,NA,NA,NA,NA,NA,"others","N","N","others","N","N","N","novel",5,"4-6 cell lines","",""
"504","ZDHHC18.ZDHHC14",5,0,"ZDHHC18","ZDHHC14","others","N","N","others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",5,"4-6 cell lines","",""
"505","ZDHHC7.ZDHHC3",5,0,"ZDHHC7","ZDHHC3",NA,NA,NA,"others","N","N","N","others","N","N",NA,NA,NA,NA,"novel",5,"4-6 cell lines","",""
"506","ZNF302.ZNF181",5,0,"ZNF302","ZNF181",NA,NA,NA,"others","N","N","N","others","N","N",NA,NA,NA,NA,"novel",5,"4-6 cell lines","",""
"507","ZNF324B.ZNF324",5,0,"ZNF324B","ZNF324",NA,NA,NA,"others","N","N","N","others","N","N",NA,NA,NA,NA,"novel",5,"4-6 cell lines","",""
"508","ZNF562.ZNF561",5,0,"ZNF562","ZNF561",NA,NA,NA,"others","N","N","N","others","N","N",NA,NA,NA,NA,"novel",5,"4-6 cell lines","",""
"509","ZNF587B.ZNF552",5,0,"ZNF587B","ZNF552",NA,NA,NA,"others","N","N","N","others","N","N",NA,NA,NA,NA,"novel",5,"4-6 cell lines","",""
"510","ZNF773.ZNF419",5,0,"ZNF773","ZNF419",NA,NA,NA,"others","N","N","N","others","N","N",NA,NA,NA,NA,"novel",5,"4-6 cell lines","",""
"511","AGPAT4.AGPAT3",4,0,"AGPAT4","AGPAT3","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"512","AMMECR1L.AMMECR1",4,0,"AMMECR1L","AMMECR1","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"513","ANXA2.ANXA1",4,0,"ANXA2","ANXA1","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"514","AP1G2.AP1G1",4,0,"AP1G2","AP1G1","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"515","AP3B2.AP3B1",4,0,"AP3B2","AP3B1","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"516","ATG4B.ATG4A",4,0,"ATG4B","ATG4A","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"517","BCAT2.BCAT1",4,0,"BCAT2","BCAT1","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"518","CERS3.CERS2",4,0,"CERS3","CERS2","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"519","CERS6.CERS5",4,0,"CERS6","CERS5","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"520","CNOT6L.CNOT6",4,0,"CNOT6L","CNOT6","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"521","DENND5B.DENND5A",4,0,"DENND5B","DENND5A","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"522","DENND6B.DENND6A",4,0,"DENND6B","DENND6A","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"523","DGKH.DGKD",4,0,"DGKH","DGKD","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"524","DNASE1L2.DNASE1",4,0,"DNASE1L2","DNASE1","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"525","DYRK1B.DYRK1A",4,0,"DYRK1B","DYRK1A","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"526","FAM102B.FAM102A",4,0,"FAM102B","FAM102A","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"527","FAM168B.FAM168A",4,0,"FAM168B","FAM168A","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"528","FAR2.FAR1",4,0,"FAR2","FAR1","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"529","FBXL20.FBXL2",4,0,"FBXL20","FBXL2","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"530","FBXO32.FBXO25",4,0,"FBXO32","FBXO25","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"531","FKBP9.FKBP10",4,0,"FKBP9","FKBP10","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"532","FSCN2.FSCN1",4,0,"FSCN2","FSCN1","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"533","GADL1.CSAD",4,0,"GADL1","CSAD","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"534","GALNT13.GALNT1",4,0,"GALNT13","GALNT1","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"535","GATA3.GATA2",4,0,"GATA3","GATA2","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"536","GPD1L.GPD1",4,0,"GPD1L","GPD1","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"537","GPSM2.GPSM1",4,0,"GPSM2","GPSM1","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"538","HEY2.HEY1",4,0,"HEY2","HEY1","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"539","HOXB7.HOXA7",4,0,"HOXB7","HOXA7","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"540","HS6ST3.HS6ST1",4,0,"HS6ST3","HS6ST1","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"541","IDI2.IDI1",4,0,"IDI2","IDI1","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"542","JAG2.JAG1",4,0,"JAG2","JAG1","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"543","KIAA1324L.KIAA1324",4,0,"KIAA1324L","KIAA1324","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"544","KIF13B.KIF13A",4,0,"KIF13B","KIF13A","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"545","KLF7.KLF6",4,0,"KLF7","KLF6","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"546","KLHL3.KLHL2",4,0,"KLHL3","KLHL2","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"547","LANCL2.LANCL1",4,0,"LANCL2","LANCL1","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"548","LRIG3.LRIG2",4,0,"LRIG3","LRIG2","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"549","LRRN3.LRRN1",4,0,"LRRN3","LRRN1","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"550","MAN2A2.MAN2A1",4,0,"MAN2A2","MAN2A1","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"551","MPP7.MPP3",4,0,"MPP7","MPP3","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"552","MSX2.MSX1",4,0,"MSX2","MSX1","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"553","NECAP2.NECAP1",4,0,"NECAP2","NECAP1","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"554","NSG2.NSG1",4,0,"NSG2","NSG1","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"555","NT5M.NT5C",4,0,"NT5M","NT5C","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"556","PDE8B.PDE8A",4,0,"PDE8B","PDE8A","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"557","PHIP.BRWD3",4,0,"PHIP","BRWD3","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"558","PHYKPL.ETNPPL",4,0,"PHYKPL","ETNPPL","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"559","PRKCQ.PRKCD",4,0,"PRKCQ","PRKCD","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"560","PTGS2.PTGS1",4,0,"PTGS2","PTGS1","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"561","PTPN4.PTPN3",4,0,"PTPN4","PTPN3","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"562","RALYL.RALY",4,0,"RALYL","RALY","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"563","RBM38.RBM24",4,0,"RBM38","RBM24","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"564","RFX3.RFX2",4,0,"RFX3","RFX2","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"565","RHOBTB2.RHOBTB1",4,0,"RHOBTB2","RHOBTB1","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"566","RIMKLB.RIMKLA",4,0,"RIMKLB","RIMKLA","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"567","RIT2.RIT1",4,0,"RIT2","RIT1","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"568","RNF144B.RNF144A",4,0,"RNF144B","RNF144A","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"569","SFMBT2.SFMBT1",4,0,"SFMBT2","SFMBT1","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"570","SH3BGRL2.SH3BGRL",4,0,"SH3BGRL2","SH3BGRL","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"571","SHKBP1.KCTD3",4,0,"SHKBP1","KCTD3","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"572","SIPA1L2.SIPA1L1",4,0,"SIPA1L2","SIPA1L1","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"573","SLC18A2.SLC18A1",4,0,"SLC18A2","SLC18A1","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"574","SLC25A13.SLC25A12",4,0,"SLC25A13","SLC25A12","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"575","SLC25A30.SLC25A14",4,0,"SLC25A30","SLC25A14","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"576","SLC35D2.SLC35D1",4,0,"SLC35D2","SLC35D1","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"577","STXBP2.STXBP1",4,0,"STXBP2","STXBP1","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"578","TBC1D8B.TBC1D8",4,0,"TBC1D8B","TBC1D8","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"579","TBX18.TBX15",4,0,"TBX18","TBX15","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"580","TNFAIP8L2.TNFAIP8L1",4,0,"TNFAIP8L2","TNFAIP8L1","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"581","TSPAN9.TSPAN4",4,0,"TSPAN9","TSPAN4","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"582","TTC21B.TTC21A",4,0,"TTC21B","TTC21A","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"583","TUSC3.MAGT1",4,0,"TUSC3","MAGT1","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"584","WIPI2.WIPI1",4,0,"WIPI2","WIPI1","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"585","YBX3.YBX1",4,0,"YBX3","YBX1","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"Reported",4,"4-6 cell lines","",""
"586","ZNF396.ZNF24",4,0,"ZNF396","ZNF24","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"587","ZYG11B.ZYG11A",4,0,"ZYG11B","ZYG11A","others","N","N",NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",4,"4-6 cell lines","",""
"588","AARS2.AARS",3,0,"AARS2","AARS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"589","ABCB7.ABCB6",3,0,"ABCB7","ABCB6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"590","ABCF3.ABCF1",3,0,"ABCF3","ABCF1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"591","ABHD12B.ABHD12",3,0,"ABHD12B","ABHD12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"592","ACAP3.ACAP2",3,0,"ACAP3","ACAP2",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"593","ACSF3.ACSF2",3,0,"ACSF3","ACSF2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"594","ACTR1B.ACTG1",3,0,"ACTR1B","ACTG1",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"Reported",3,"2-3 cell lines","",""
"595","ADAM17.ADAM10",3,0,"ADAM17","ADAM10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"596","ADAMTSL3.ADAMTSL1",3,0,"ADAMTSL3","ADAMTSL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"597","AGAP3.AGAP1",3,0,"AGAP3","AGAP1",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"598","AGAP9.AGAP1",3,0,"AGAP9","AGAP1",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"599","AGFG2.AGFG1",3,0,"AGFG2","AGFG1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"600","AHRR.AHR",3,0,"AHRR","AHR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"601","AK8.AK2",3,0,"AK8","AK2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"602","AKT2.AKT1",3,0,"AKT2","AKT1",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"603","ANKRD12.ANKRD11",3,0,"ANKRD12","ANKRD11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","Reported",3,"2-3 cell lines","",""
"604","ANXA7.ANXA11",3,0,"ANXA7","ANXA11",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"605","APC2.APC",3,0,"APC2","APC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"606","APPL2.APPL1",3,0,"APPL2","APPL1",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"607","ARHGEF12.ARHGEF11",3,0,"ARHGEF12","ARHGEF11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"608","ASAH2B.ASAH2",3,0,"ASAH2B","ASAH2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"609","ASIC3.ASIC1",3,0,"ASIC3","ASIC1",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"610","ASXL3.ASXL1",3,0,"ASXL3","ASXL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"611","ATAD3B.ATAD3A",3,0,"ATAD3B","ATAD3A",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"612","ATF7IP2.ATF7IP",3,0,"ATF7IP2","ATF7IP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"613","ATG2B.ATG2A",3,0,"ATG2B","ATG2A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"614","ATP5O.AP000304.12",3,0,"ATP5O","AP000304.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"615","ATP7B.ATP7A",3,0,"ATP7B","ATP7A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"616","ATXN2L.ATXN2",3,0,"ATXN2L","ATXN2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"617","AXIN2.AXIN1",3,0,"AXIN2","AXIN1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","Reported",3,"2-3 cell lines","",""
"618","B3GALT6.B3GALNT2",3,0,"B3GALT6","B3GALNT2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"619","BACH2.BACH1",3,0,"BACH2","BACH1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"620","BANF2.BANF1",3,0,"BANF2","BANF1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"621","BAZ2B.BAZ2A",3,0,"BAZ2B","BAZ2A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"622","BCR.ABR",3,0,"BCR","ABR",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"623","BET1L.BET1",3,0,"BET1L","BET1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"624","BRD9.BRD7",3,0,"BRD9","BRD7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"625","BRMS1L.BRMS1",3,0,"BRMS1L","BRMS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"626","BTG4.BTG3",3,0,"BTG4","BTG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"627","BTN3A3.BTN3A1",3,0,"BTN3A3","BTN3A1",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"628","CAMTA2.CAMTA1",3,0,"CAMTA2","CAMTA1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"629","CAPRIN2.CAPRIN1",3,0,"CAPRIN2","CAPRIN1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"630","CARS2.CARS",3,0,"CARS2","CARS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"631","CASKIN2.CASKIN1",3,0,"CASKIN2","CASKIN1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"632","CBX5.CBX3",3,0,"CBX5","CBX3",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"633","CC2D1B.CC2D1A",3,0,"CC2D1B","CC2D1A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"634","CCDC85C.CCDC85A",3,0,"CCDC85C","CCDC85A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"635","CCDC94.CCDC130",3,0,"CCDC94","CCDC130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"636","CCNG2.CCNG1",3,0,"CCNG2","CCNG1",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"637","CDC14B.CDC14A",3,0,"CDC14B","CDC14A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"638","CDC37L1.CDC37",3,0,"CDC37L1","CDC37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"639","CDK5.CDK3",3,0,"CDK5","CDK3",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"640","CDK5R2.CDK5R1",3,0,"CDK5R2","CDK5R1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"641","CDK8.CDK19",3,0,"CDK8","CDK19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","Reported",3,"2-3 cell lines","",""
"642","CHKB.CHKA",3,0,"CHKB","CHKA",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"643","CHMP2B.CHMP2A",3,0,"CHMP2B","CHMP2A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"644","CISD2.CISD1",3,0,"CISD2","CISD1",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"645","CLPTM1L.CLPTM1",3,0,"CLPTM1L","CLPTM1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"646","CLSTN3.CLSTN1",3,0,"CLSTN3","CLSTN1",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"647","CNGB3.CNGB1",3,0,"CNGB3","CNGB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"648","CNKSR2.CNKSR1",3,0,"CNKSR2","CNKSR1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"649","COQ8B.COQ8A",3,0,"COQ8B","COQ8A",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"650","CORO1C.CORO1B",3,0,"CORO1C","CORO1B",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"651","COX4I2.COX4I1",3,0,"COX4I2","COX4I1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"652","COX6B2.COX6B1",3,0,"COX6B2","COX6B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","Reported",3,"2-3 cell lines","",""
"653","CPEB4.CPEB2",3,0,"CPEB4","CPEB2",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"654","CPNE2.CPNE1",3,0,"CPNE2","CPNE1",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"655","CPS1.CAD",3,0,"CPS1","CAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"656","CPSF3L.CPSF3",3,0,"CPSF3L","CPSF3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
