A1CF	ENSGALG00000003765
DUS2	ENSGALG00000048067
DUS3L	ENSGALG00000001800
DUS4L	ENSGALG00000023661
DUSP10	ENSGALG00000009450
DUSP11	ENSGALG00000033014
DUSP12	ENSGALG00000007084
DUSP13	ENSGALG00000005017
DUSP14	ENSGALG00000027641
DUSP15	ENSGALG00000021017
DUSP16	ENSGALG00000028155
DUSP19	ENSGALG00000043268
DUSP1	ENSGALG00000040360
DUSP22	ENSGALG00000027397
DUSP26	ENSGALG00000001633
DUSP28	ENSGALG00000000399
DUSP29	ENSGALG00000005019
DUSP4	ENSGALG00000011419
DUSP5	ENSGALG00000032618
DUSP6	ENSGALG00000011207
DUSP8	ENSGALG00000006647
DVL1	ENSGALG00000001600
DVL3	ENSGALG00000008414
DYDC1	ENSGALG00000002432
DYM	ENSGALG00000037426
DYNC1H1	ENSGALG00000011330
DYNC1I1	ENSGALG00000009722
DYNC1I2	ENSGALG00000009551
DYNC1LI1	ENSGALG00000011491
DYNC1LI2	ENSGALG00000005241
DYNC2I1	ENSGALG00000006558
DYNC2I2	ENSGALG00000004702
DYNC2LI1	ENSGALG00000009954
DYNLL1	ENSGALG00000020999
DYNLL2	ENSGALG00000005522
DYNLRB2	ENSGALG00000005402
DYNLT1	ENSGALG00000019979
DYNLT2B	ENSGALG00000027722
DYNLT2	ENSGALG00000011189
DYNLT3	ENSGALG00000016259
DYRK1A	ENSGALG00000016053
DYRK2	ENSGALG00000009901
DYRK3	ENSGALG00000000863
DYSF	ENSGALG00000016105
DYTN	ENSGALG00000008562
DZANK1	ENSGALG00000008731
DZIP1	ENSGALG00000016895
DZIP1L	ENSGALG00000006597
E2F1	ENSGALG00000003045
E2F3	ENSGALG00000012680
E2F4	ENSGALG00000001722
E2F5	ENSGALG00000038915
E2F6	ENSGALG00000016454
E2F7	ENSGALG00000031340
E4F1	ENSGALG00000005900
EAF1	ENSGALG00000033379
EAF2	ENSGALG00000011657
EAPP	ENSGALG00000010007
EARS2	ENSGALG00000006122
EBAG9	ENSGALG00000036293
EBF1	ENSGALG00000003699
EBF2	ENSGALG00000000242
EBF3	ENSGALG00000010461
EBNA1BP2	ENSGALG00000009045
ECD	ENSGALG00000002686
ECE1	ENSGALG00000031343
ECHDC1	ENSGALG00000014828
ECHDC2	ENSGALG00000010647
ECHDC3	ENSGALG00000006690
ECI1	ENSGALG00000031563
ECI2	ENSGALG00000012809
ECM2	ENSGALG00000004695
ECPAS	ENSGALG00000015689
ECRG4	ENSGALG00000043690
ECSCR	ENSGALG00000024379
ECSIT	ENSGALG00000043823
ECT2	ENSGALG00000009157
EDAR	ENSGALG00000016809
EDC3	ENSGALG00000040181
EDC4	ENSGALG00000040875
EDEM1	ENSGALG00000008320
EDEM2	ENSGALG00000003128
EDEM3	ENSGALG00000004806
EDF1	ENSGALG00000038003
EDIL3	ENSGALG00000015630
EDN1	ENSGALG00000012735
EDN2	ENSGALG00000000667
EDN3	ENSGALG00000040880
EDNRA	ENSGALG00000010013
EDNRB	ENSGALG00000016912
EDRF1	ENSGALG00000013685
EEA1	ENSGALG00000011280
EED	ENSGALG00000014060
EEF1A1	ENSGALG00000015917
EEF1A2	ENSGALG00000005843
EEF1AKMT1	ENSGALG00000017133
EEF1AKMT2	ENSGALG00000034013
EEF1AKNMT	ENSGALG00000003206
EEF1B2	ENSGALG00000008590
EEF1D	ENSGALG00000040098
EEF1E1	ENSGALG00000012781
EEF2	ENSGALG00000033884
EEF2K	ENSGALG00000006982
EEFSEC	ENSGALG00000038684
EEPD1	ENSGALG00000039983
EFCAB11	ENSGALG00000020402
EFCAB14	ENSGALG00000010446
EFCAB1	ENSGALG00000009473
EFCAB5	ENSGALG00000040942
EFCAB7	ENSGALG00000010998
EFCC1	ENSGALG00000005024
EFHB	ENSGALG00000011267
EFHC1	ENSGALG00000016674
EFHC2	ENSGALG00000016221
EFHD1	ENSGALG00000001428
EFL1	ENSGALG00000006225
EFNA2	ENSGALG00000038629
EFNA5	ENSGALG00000000280
EFNB1	ENSGALG00000036539
EFNB2	ENSGALG00000029175
EFR3A	ENSGALG00000039533
EFR3B	ENSGALG00000016605
EFTUD2	ENSGALG00000000988
EGF	ENSGALG00000012155
EGFL6	ENSGALG00000016584
EGFL7	ENSGALG00000043499
EGFLAM	ENSGALG00000003726
EGLN1	ENSGALG00000041422
EGLN3	ENSGALG00000010001
EGR1	ENSGALG00000007669
EGR3	ENSGALG00000037437
EGR4	ENSGALG00000016086
EHBP1	ENSGALG00000040348
EHD3	ENSGALG00000009086
EHD4	ENSGALG00000008950
EHF	ENSGALG00000007817
EI24	ENSGALG00000038097
EIF1B	ENSGALG00000038646
EIF1	ENSGALG00000028517
EIF2A	ENSGALG00000010401
EIF2AK1	ENSGALG00000003391
EIF2AK2	ENSGALG00000010560
EIF2AK3	ENSGALG00000015958
EIF2AK4	ENSGALG00000009611
EIF2B1	ENSGALG00000003259
EIF2B2	ENSGALG00000010301
EIF2B3	ENSGALG00000010140
EIF2B5	ENSGALG00000008376
EIF2D	ENSGALG00000000856
EIF2S1	ENSGALG00000009565
EIF2S2	ENSGALG00000033196
EIF3A	ENSGALG00000009328
EIF3B	ENSGALG00000040999
EIF3D	ENSGALG00000012529
EIF3E	ENSGALG00000037067
EIF3F	ENSGALG00000005326
EIF3G	ENSGALG00000034475
EIF3H	ENSGALG00000040522
EIF3I	ENSGALG00000003337
EIF3J	ENSGALG00000008187
EIF3L	ENSGALG00000012296
EIF3M	ENSGALG00000012109
EIF4A2	ENSGALG00000008684
EIF4A3	ENSGALG00000008530
EIF4B	ENSGALG00000045352
EIF4E1B	ENSGALG00000026037
EIF4E2	ENSGALG00000007919
EIF4E3	ENSGALG00000007780
EIF4EBP1	ENSGALG00000003205
EIF4EBP2	ENSGALG00000037904
EIF4E	ENSGALG00000042112
EIF4ENIF1	ENSGALG00000006898
EIF4G1	ENSGALG00000008520
EIF4G2	ENSGALG00000005587
EIF4G3	ENSGALG00000010084
EIF4H	ENSGALG00000001313
EIF5A2	ENSGALG00000009309
EIF5B	ENSGALG00000016764
EIF5	ENSGALG00000011464
EIF6	ENSGALG00000033993
EIPR1	ENSGALG00000016385
ELAC2	ENSGALG00000001036
ELAPOR2	ENSGALG00000030324
ELAVL1	ENSGALG00000000726
ELAVL2	ENSGALG00000015799
ELAVL4	ENSGALG00000010533
ELF1	ENSGALG00000016947
ELF2	ENSGALG00000009774
ELF3	ENSGALG00000000616
ELF5	ENSGALG00000035867
ELFN1	ENSGALG00000004209
ELFN2	ENSGALG00000012446
ELK3	ENSGALG00000043701
ELK4	ENSGALG00000042137
ELL2	ENSGALG00000014678
ELL	ENSGALG00000033513
ELMO1	ENSGALG00000035492
ELMO2	ENSGALG00000007246
ELMO3	ENSGALG00000030220
ELMOD1	ENSGALG00000017169
ELMOD2	ENSGALG00000009836
ELMOD3	ENSGALG00000046248
ELOA	ENSGALG00000034625
ELOVL1	ENSGALG00000009988
ELOVL2	ENSGALG00000012748
ELOVL4	ENSGALG00000015876
ELOVL5	ENSGALG00000016314
ELOVL7	ENSGALG00000014730
ELP1	ENSGALG00000001947
ELP2	ENSGALG00000039034
ELP3	ENSGALG00000016624
ELP4	ENSGALG00000012127
EMB	ENSGALG00000014877
EMC1	ENSGALG00000003969
EMC3	ENSGALG00000003738
EMC6	ENSGALG00000026492
EMC7	ENSGALG00000009637
EMC8	ENSGALG00000005744
EME1	ENSGALG00000007676
EME2	ENSGALG00000002276
EMG1	ENSGALG00000014568
EMILIN2	ENSGALG00000032997
EML1	ENSGALG00000039735
EML4	ENSGALG00000009915
EML5	ENSGALG00000010639
EML6	ENSGALG00000008139
EMP1	ENSGALG00000011803
EMSY	ENSGALG00000000830
EMX1	ENSGALG00000030516
EMX2	ENSGALG00000009302
EN1	ENSGALG00000042389
EN2	ENSGALG00000041295
ENAH	ENSGALG00000009303
ENC1	ENSGALG00000014930
ENDOD1	ENSGALG00000017205
ENDOG	ENSGALG00000026221
ENDOU	ENSGALG00000039970
ENDOV	ENSGALG00000006963
ENGASE	ENSGALG00000011816
ENKD1	ENSGALG00000001204
ENKUR	ENSGALG00000007680
ENO1	ENSGALG00000002377
ENO2	ENSGALG00000014528
ENO4	ENSGALG00000009254
ENOPH1	ENSGALG00000011178
ENOX1	ENSGALG00000016967
ENOX2	ENSGALG00000004079
ENPEP	ENSGALG00000031410
ENPP1	ENSGALG00000002896
ENPP2	ENSGALG00000032746
ENPP3	ENSGALG00000037587
ENPP4	ENSGALG00000016708
ENPP6	ENSGALG00000010645
ENPP7	ENSGALG00000013743
ENSA	ENSGALG00000037480
ENTPD1	ENSGALG00000007078
ENTPD2	ENSGALG00000039696
ENTPD3	ENSGALG00000030493
ENTPD4	ENSGALG00000000390
ENTPD5	ENSGALG00000010202
ENTPD6	ENSGALG00000008563
ENTPD7	ENSGALG00000023691
EOGT	ENSGALG00000013406
EOMES	ENSGALG00000027247
EP300	ENSGALG00000011992
EP400	ENSGALG00000002336
EPAS1	ENSGALG00000010005
EPB41	ENSGALG00000001329
EPB41L1	ENSGALG00000034171
EPB41L3	ENSGALG00000038678
EPB41L4A	ENSGALG00000000234
EPB41L5	ENSGALG00000011605
EPB42	ENSGALG00000021230
EPC1	ENSGALG00000007169
EPC2	ENSGALG00000012453
EPCAM	ENSGALG00000008969
EPGN	ENSGALG00000010859
EPHA10	ENSGALG00000001912
EPHA1	ENSGALG00000014687
EPHA3	ENSGALG00000015403
EPHA4	ENSGALG00000005256
EPHA5	ENSGALG00000011680
EPHA6	ENSGALG00000015418
EPHA7	ENSGALG00000015593
EPHA8	ENSGALG00000021567
EPHB1	ENSGALG00000006609
EPHB2	ENSGALG00000004741
EPHB3	ENSGALG00000008537
EPHX1	ENSGALG00000009291
EPHX2	ENSGALG00000016567
EPHX4	ENSGALG00000006019
EPM2A	ENSGALG00000012275
EPN2	ENSGALG00000035919
EPN3	ENSGALG00000023279
EPRS1	ENSGALG00000009598
EPS15	ENSGALG00000010543
EPS15L1	ENSGALG00000021601
EPS8	ENSGALG00000013091
EPS8L2	ENSGALG00000043025
EPS8L3	ENSGALG00000046687
EPSTI1	ENSGALG00000016964
EPX	ENSGALG00000043254
EPYC	ENSGALG00000011269
ERAL1	ENSGALG00000003995
ERAP1	ENSGALG00000014684
ERBB3	ENSGALG00000033510
ERBB4	ENSGALG00000003126
ERBIN	ENSGALG00000014773
ERC1	ENSGALG00000012994
ERC2	ENSGALG00000005419
ERCC3	ENSGALG00000011515
ERCC4	ENSGALG00000002981
ERCC5	ENSGALG00000016860
ERCC6	ENSGALG00000006254
ERCC6L2	ENSGALG00000012621
ERCC6L	ENSGALG00000003881
ERCC8	ENSGALG00000014732
EREG	ENSGALG00000010864
ERG28	ENSGALG00000034354
ERG	ENSGALG00000016058
ERGIC1	ENSGALG00000002863
ERGIC2	ENSGALG00000007183
ERH	ENSGALG00000017384
ERI1	ENSGALG00000011448
ERI2	ENSGALG00000026038
ERI3	ENSGALG00000010106
ERICH1	ENSGALG00000031021
ERICH3	ENSGALG00000011356
ERLEC1	ENSGALG00000008172
ERLIN1	ENSGALG00000003308
ERLIN2	ENSGALG00000003092
ERMARD	ENSGALG00000011186
ERMP1	ENSGALG00000000438
ERN1	ENSGALG00000003476
ERO1A	ENSGALG00000012404
ERP27	ENSGALG00000011739
ERP29	ENSGALG00000023510
ERP44	ENSGALG00000013452
ERRFI1	ENSGALG00000000535
ESAM	ENSGALG00000000957
ESCO1	ENSGALG00000014936
ESCO2	ENSGALG00000016583
ESD	ENSGALG00000016991
ESF1	ENSGALG00000034768
ESM1	ENSGALG00000027707
ESR1	ENSGALG00000012973
ESR2	ENSGALG00000011801
ESRP1	ENSGALG00000031076
ESRP2	ENSGALG00000003374
ESRRB	ENSGALG00000041775
ESRRG	ENSGALG00000009645
ESS2	ENSGALG00000005885
ESYT2	ENSGALG00000006542
ESYT3	ENSGALG00000012092
ETAA1	ENSGALG00000027922
ETF1	ENSGALG00000002262
ETFA	ENSGALG00000002925
ETFBKMT	ENSGALG00000027056
ETFDH	ENSGALG00000009442
ETFRF1	ENSGALG00000014031
ETNK1	ENSGALG00000013205
ETNK2	ENSGALG00000000557
ETS1	ENSGALG00000001143
ETS2	ENSGALG00000016059
ETV1	ENSGALG00000035504
ETV3	ENSGALG00000000669
ETV3L	ENSGALG00000027138
ETV5	ENSGALG00000005768
ETV6	ENSGALG00000012921
ETV7	ENSGALG00000000504
EVA1B	ENSGALG00000022440
EVA1C	ENSGALG00000032882
EVC2	ENSGALG00000015029
EVC	ENSGALG00000015037
EVL	ENSGALG00000011209
EVPL	ENSGALG00000002108
EVX1	ENSGALG00000037310
EVX2	ENSGALG00000020768
EWSR1	ENSGALG00000008149
EXD2	ENSGALG00000009456
EXD3	ENSGALG00000052646
EXO1	ENSGALG00000010748
EXOC1	ENSGALG00000013778
EXOC2	ENSGALG00000012837
EXOC3	ENSGALG00000013397
EXOC3L1	ENSGALG00000001702
EXOC3L4	ENSGALG00000011443
EXOC4	ENSGALG00000008477
EXOC5	ENSGALG00000012105
EXOC6B	ENSGALG00000016098
EXOC6	ENSGALG00000006763
EXOC7	ENSGALG00000002050
EXOC8	ENSGALG00000043280
EXOG	ENSGALG00000006153
EXOSC10	ENSGALG00000003086
EXOSC1	ENSGALG00000039917
EXOSC2	ENSGALG00000040373
EXOSC3	ENSGALG00000002426
EXOSC7	ENSGALG00000030084
EXOSC8	ENSGALG00000017048
EXOSC9	ENSGALG00000011884
EXT1	ENSGALG00000039013
EXT2	ENSGALG00000031542
EXTL2	ENSGALG00000051438
EXTL3	ENSGALG00000016630
EYA2	ENSGALG00000004508
EYA3	ENSGALG00000000777
EZH1	ENSGALG00000003068
EZH2	ENSGALG00000043399
EZR	ENSGALG00000013742
F10	ENSGALG00000026677
F11	ENSGALG00000013571
F13A1	ENSGALG00000012802
F13B	ENSGALG00000002369
F2	ENSGALG00000008332
F2R	ENSGALG00000014983
F2RL1	ENSGALG00000014984
F2RL2	ENSGALG00000023379
F3	ENSGALG00000005619
F5	ENSGALG00000029298
F7	ENSGALG00000016833
F8	ENSGALG00000005077
F9	ENSGALG00000006513
FA2H	ENSGALG00000002775
FAAH2	ENSGALG00000028084
FAAH	ENSGALG00000010433
FAAP24	ENSGALG00000034534
FABP1	ENSGALG00000015937
FABP2	ENSGALG00000011986
FABP4	ENSGALG00000030025
FABP6	ENSGALG00000001445
FABP7	ENSGALG00000038933
FADD	ENSGALG00000007625
FADS2	ENSGALG00000007178
FADS6	ENSGALG00000029445
FAF1	ENSGALG00000010536
FAF2	ENSGALG00000003331
FAHD1	ENSGALG00000024041
FAHD2A	ENSGALG00000033356
FAH	ENSGALG00000006482
FAIM2	ENSGALG00000031615
FAIM	ENSGALG00000012082
FAM102A	ENSGALG00000005074
FAM102B	ENSGALG00000001951
FAM104A	ENSGALG00000026401
FAM107A	ENSGALG00000007139
FAM110B	ENSGALG00000035065
FAM110C	ENSGALG00000016361
FAM114A1	ENSGALG00000013583
FAM114A2	ENSGALG00000004068
FAM117A	ENSGALG00000009943
FAM117B	ENSGALG00000008466
FAM118B	ENSGALG00000037407
FAM120A	ENSGALG00000039316
FAM120B	ENSGALG00000011180
FAM124A	ENSGALG00000017016
FAM124B	ENSGALG00000005118
FAM126A	ENSGALG00000010925
FAM126B	ENSGALG00000020869
FAM131A	ENSGALG00000029795
FAM131B	ENSGALG00000014689
FAM133B	ENSGALG00000009475
FAM135A	ENSGALG00000015969
FAM13A	ENSGALG00000010371
FAM149A	ENSGALG00000013503
FAM149B1	ENSGALG00000002693
FAM151B	ENSGALG00000015577
FAM155B	ENSGALG00000041437
FAM161A	ENSGALG00000008810
FAM161B	ENSGALG00000010196
FAM162A	ENSGALG00000007378
FAM162B	ENSGALG00000019941
FAM163A	ENSGALG00000020984
FAM163B	ENSGALG00000026179
FAM168A	ENSGALG00000017323
FAM168B	ENSGALG00000002172
FAM169A	ENSGALG00000014943
FAM171A1	ENSGALG00000008764
FAM171B	ENSGALG00000002646
FAM172A	ENSGALG00000014661
FAM174A	ENSGALG00000026203
FAM174C	ENSGALG00000029614
FAM177A1	ENSGALG00000010046
FAM180A	ENSGALG00000028459
FAM180B	ENSGALG00000051142
FAM181A	ENSGALG00000054735
FAM181B	ENSGALG00000053106
FAM183A	ENSGALG00000009033
FAM184A	ENSGALG00000014881
FAM184B	ENSGALG00000041854
FAM185A	ENSGALG00000008301
FAM187A	ENSGALG00000000914
FAM189A1	ENSGALG00000003944
FAM189A2	ENSGALG00000015110
FAM193A	ENSGALG00000015667
FAM193B	ENSGALG00000040787
FAM199X	ENSGALG00000008872
FAM204A	ENSGALG00000009307
FAM207A	ENSGALG00000007513
FAM20B	ENSGALG00000004227
FAM20C	ENSGALG00000038768
FAM210A	ENSGALG00000013887
FAM210B	ENSGALG00000007771
FAM214B	ENSGALG00000002069
FAM217B	ENSGALG00000026542
FAM219A	ENSGALG00000005821
FAM221A	ENSGALG00000010977
FAM222B	ENSGALG00000041939
FAM234A	ENSGALG00000031303
FAM234B	ENSGALG00000011800
FAM240A	ENSGALG00000021163
FAM243A	ENSGALG00000016011
FAM32A	ENSGALG00000036474
FAM3B	ENSGALG00000016140
FAM3C	ENSGALG00000008975
FAM3D	ENSGALG00000007152
FAM43A	ENSGALG00000041898
FAM43B	ENSGALG00000026367
FAM53A	ENSGALG00000015713
FAM53B	ENSGALG00000009718
FAM76B	ENSGALG00000017202
FAM78A	ENSGALG00000003789
FAM78B	ENSGALG00000003035
FAM81A	ENSGALG00000004103
FAM83A	ENSGALG00000041748
FAM83B	ENSGALG00000016299
FAM83C	ENSGALG00000031906
FAM83D	ENSGALG00000044404
FAM83F	ENSGALG00000045936
FAM83G	ENSGALG00000005087
FAM83H	ENSGALG00000033118
FAM89A	ENSGALG00000043572
FAM91A1	ENSGALG00000035478
FAM98A	ENSGALG00000010428
FAM98B	ENSGALG00000009744
FANCA	ENSGALG00000000516
FANCB	ENSGALG00000016569
FANCC	ENSGALG00000012618
FANCD2	ENSGALG00000003720
FANCE	ENSGALG00000002561
FANCF	ENSGALG00000003660
FANCG	ENSGALG00000002009
FANCI	ENSGALG00000006658
FANCL	ENSGALG00000030022
FANCM	ENSGALG00000031182
FAP	ENSGALG00000011099
FAR1	ENSGALG00000005353
FAR2	ENSGALG00000017291
FARP1	ENSGALG00000016886
FARP2	ENSGALG00000005788
FARS2	ENSGALG00000042481
FARSA	ENSGALG00000040258
FARSB	ENSGALG00000005236
FAS	ENSGALG00000006351
FASLG	ENSGALG00000003076
FASN	ENSGALG00000040896
FASTKD1	ENSGALG00000009841
FASTKD2	ENSGALG00000008529
FASTK	ENSGALG00000033058
FAT1	ENSGALG00000013579
FAT2	ENSGALG00000004320
FAT3	ENSGALG00000017229
FAT4	ENSGALG00000011823
FAXC	ENSGALG00000015489
FAXDC2	ENSGALG00000003972
FBF1	ENSGALG00000002179
FBH1	ENSGALG00000008162
FBLIM1	ENSGALG00000003636
FBLN1	ENSGALG00000014233
FBLN2	ENSGALG00000005120
FBLN5	ENSGALG00000010747
FBN1	ENSGALG00000004960
FBN2	ENSGALG00000014686
FBP1	ENSGALG00000012613
FBP2	ENSGALG00000012612
FBRSL1	ENSGALG00000002205
FBXL12	ENSGALG00000038666
FBXL14	ENSGALG00000032159
FBXL15	ENSGALG00000005684
FBXL16	ENSGALG00000002443
FBXL17	ENSGALG00000000276
FBXL18	ENSGALG00000004611
FBXL20	ENSGALG00000001682
FBXL2	ENSGALG00000030175
FBXL3	ENSGALG00000048716
FBXL4	ENSGALG00000015490
FBXL5	ENSGALG00000014510
FBXL8	ENSGALG00000003201
FBXO11	ENSGALG00000008944
FBXO15	ENSGALG00000013720
FBXO16	ENSGALG00000053560
FBXO21	ENSGALG00000008201
FBXO22	ENSGALG00000039897
FBXO25	ENSGALG00000016359
FBXO28	ENSGALG00000009331
FBXO2	ENSGALG00000004657
FBXO30	ENSGALG00000041684
FBXO31	ENSGALG00000005779
FBXO32	ENSGALG00000041202
FBXO33	ENSGALG00000010192
FBXO34	ENSGALG00000032563
FBXO38	ENSGALG00000038627
FBXO39	ENSGALG00000029322
FBXO40	ENSGALG00000013999
FBXO41	ENSGALG00000039477
FBXO42	ENSGALG00000003731
FBXO47	ENSGALG00000019738
FBXO48	ENSGALG00000008753
FBXO4	ENSGALG00000014851
FBXO5	ENSGALG00000013607
FBXO6	ENSGALG00000004646
FBXO7	ENSGALG00000012569
FBXO8	ENSGALG00000010764
FBXO9	ENSGALG00000016320
FBXW11	ENSGALG00000002229
FBXW2	ENSGALG00000000864
FBXW4	ENSGALG00000007715
FBXW5	ENSGALG00000030831
FBXW7	ENSGALG00000010103
FBXW8	ENSGALG00000008207
FCF1	ENSGALG00000010275
FCHO1	ENSGALG00000037712
FCHO2	ENSGALG00000015019
FCHSD1	ENSGALG00000002622
FCHSD2	ENSGALG00000017329
FDFT1	ENSGALG00000016665
FDPS	ENSGALG00000028880
FDX1	ENSGALG00000026507
FDXACB1	ENSGALG00000007967
FDXR	ENSGALG00000035816
FEM1A	ENSGALG00000004168
FEM1B	ENSGALG00000028906
FEM1C	ENSGALG00000008204
FEN1	ENSGALG00000033781
FER1L6	ENSGALG00000033783
FERD3L	ENSGALG00000010862
FER	ENSGALG00000000273
FERMT1	ENSGALG00000008827
FERMT2	ENSGALG00000012425
FES	ENSGALG00000008340
FETUB	ENSGALG00000008608
FEV	ENSGALG00000026698
FEZ1	ENSGALG00000038885
FEZ2	ENSGALG00000010594
FEZF1	ENSGALG00000008941
FEZF2	ENSGALG00000007184
FFAR4	ENSGALG00000026733
FGA	ENSGALG00000009266
FGB	ENSGALG00000009262
FGD3	ENSGALG00000005237
FGD4	ENSGALG00000012932
FGD5	ENSGALG00000008546
FGD6	ENSGALG00000011342
FGF10	ENSGALG00000014872
FGF13	ENSGALG00000006508
FGF14	ENSGALG00000016866
FGF16	ENSGALG00000007806
FGF18	ENSGALG00000002203
FGF19	ENSGALG00000028376
FGF1	ENSGALG00000031255
FGF20	ENSGALG00000013663
FGF22	ENSGALG00000041822
FGF23	ENSGALG00000027791
FGF2	ENSGALG00000011835
FGF3	ENSGALG00000026853
FGF4	ENSGALG00000007562
FGF6	ENSGALG00000017287
FGF7	ENSGALG00000028158
FGF8	ENSGALG00000007706
FGF9	ENSGALG00000025748
FGFBP2	ENSGALG00000014501
FGFR1	ENSGALG00000039786
FGFR1OP2	ENSGALG00000014084
FGFR2	ENSGALG00000009495
FGFR3	ENSGALG00000015708
FGFR4	ENSGALG00000028543
FGFRL1	ENSGALG00000037525
FGG	ENSGALG00000009268
FGGY	ENSGALG00000010879
FGL1	ENSGALG00000013606
FGL2	ENSGALG00000008306
FGR	ENSGALG00000032199
FH	ENSGALG00000013165
FHIP1A	ENSGALG00000010090
FHIP1B	ENSGALG00000003416
FHIP2A	ENSGALG00000031404
FHIT	ENSGALG00000007172
FHL1	ENSGALG00000006190
FHL2	ENSGALG00000016797
FHL3	ENSGALG00000035187
FHL5	ENSGALG00000015573
FHOD1	ENSGALG00000002198
FHOD3	ENSGALG00000013124
FIBCD1	ENSGALG00000003866
FIBIN	ENSGALG00000023904
FICD	ENSGALG00000004858
FIG4	ENSGALG00000015070
FIGN	ENSGALG00000011069
FIGNL1	ENSGALG00000026363
FIGNL2	ENSGALG00000033339
FILIP1	ENSGALG00000039001
FILIP1L	ENSGALG00000015271
FIP1L1	ENSGALG00000013943
FJX1	ENSGALG00000039032
FKBP10	ENSGALG00000025764
FKBP14	ENSGALG00000011181
FKBP15	ENSGALG00000008838
FKBP1A	ENSGALG00000027151
FKBP1B	ENSGALG00000016500
FKBP3	ENSGALG00000012466
FKBP4	ENSGALG00000014331
FKBP5	ENSGALG00000042148
FKBP6	ENSGALG00000029211
FKBP7	ENSGALG00000009149
FKBP8	ENSGALG00000003357
FKBP9	ENSGALG00000037669
FKTN	ENSGALG00000015443
FLAD1	ENSGALG00000027700
FLCN	ENSGALG00000004816
FLI1	ENSGALG00000001161
FLII	ENSGALG00000004997
FLNB	ENSGALG00000005678
FLOT2	ENSGALG00000031216
FLRT2	ENSGALG00000010589
FLRT3	ENSGALG00000008716
FLT1	ENSGALG00000017091
FLT4	ENSGALG00000005802
FLVCR1	ENSGALG00000009807
FLVCR2	ENSGALG00000010326
FMC1	ENSGALG00000011856
FMN1	ENSGALG00000009723
FMNL2	ENSGALG00000012525
FMO3	ENSGALG00000040573
FMO5	ENSGALG00000003022
FMOD	ENSGALG00000034067
FMR1	ENSGALG00000009177
FN1	ENSGALG00000003578
FN3K	ENSGALG00000001531
FN3KRP	ENSGALG00000028979
FNBP1	ENSGALG00000004088
FNBP1L	ENSGALG00000005850
FNBP4	ENSGALG00000014598
FNDC10	ENSGALG00000037713
FNDC1	ENSGALG00000011663
FNDC3A	ENSGALG00000017002
FNDC3B	ENSGALG00000009222
FNDC4	ENSGALG00000016507
FNDC5	ENSGALG00000003567
FNDC7	ENSGALG00000001983
FNDC9	ENSGALG00000038576
FNIP1	ENSGALG00000017462
FNIP2	ENSGALG00000020251
FNTA	ENSGALG00000015397
FNTB	ENSGALG00000038143
FOCAD	ENSGALG00000015071
FOLH1	ENSGALG00000017234
FOS	ENSGALG00000028037
FOSL2	ENSGALG00000010036
FOXA1	ENSGALG00000032713
FOXA2	ENSGALG00000030889
FOXF1	ENSGALG00000034111
FOXF2	ENSGALG00000031920
FOXG1	ENSGALG00000036364
FOXI1	ENSGALG00000002105
FOXJ1	ENSGALG00000041025
FOXJ2	ENSGALG00000014329
FOXK1	ENSGALG00000004460
FOXK2	ENSGALG00000001577
FOXL2	ENSGALG00000029282
FOXM1	ENSGALG00000013420
FOXN1	ENSGALG00000043868
FOXN2	ENSGALG00000008942
FOXN3	ENSGALG00000010665
FOXN4	ENSGALG00000005062
FOXO1	ENSGALG00000017034
FOXO3	ENSGALG00000015297
FOXP1	ENSGALG00000007769
FOXP2	ENSGALG00000009424
FOXP4	ENSGALG00000033497
FOXRED1	ENSGALG00000046347
FOXRED2	ENSGALG00000012530
FPGS	ENSGALG00000042460
FPGT	ENSGALG00000026958
FRA10AC1	ENSGALG00000006622
FRAS1	ENSGALG00000010316
FREM1	ENSGALG00000005426
FREM2	ENSGALG00000033671
FRG1	ENSGALG00000013590
FRK	ENSGALG00000014979
FRMD1	ENSGALG00000011296
FRMD3	ENSGALG00000012577
FRMD4B	ENSGALG00000037791
FRMD5	ENSGALG00000030858
FRMD6	ENSGALG00000012374
FRMD7	ENSGALG00000023843
FRMPD1	ENSGALG00000023036
FRRS1	ENSGALG00000005418
FRRS1L	ENSGALG00000025792
FRS2	ENSGALG00000009966
FRS3	ENSGALG00000003447
FRY	ENSGALG00000017075
FRYL	ENSGALG00000014103
FRZB	ENSGALG00000002763
FSBP	ENSGALG00000037933
FSCN1	ENSGALG00000021128
FSCN2	ENSGALG00000023354
FSD1L	ENSGALG00000015442
FSD2	ENSGALG00000005996
FSHB	ENSGALG00000012140
FSHR	ENSGALG00000009100
FSIP1	ENSGALG00000009624
FST	ENSGALG00000014908
FSTL1	ENSGALG00000014970
FSTL4	ENSGALG00000031487
FSTL5	ENSGALG00000041736
FTCD	ENSGALG00000006131
FTH1	ENSGALG00000007220
FTO	ENSGALG00000041036
FTSJ3	ENSGALG00000032993
FUBP1	ENSGALG00000008939
FUBP3	ENSGALG00000003941
FUCA1	ENSGALG00000004112
FUCA2	ENSGALG00000013773
FUNDC1	ENSGALG00000028187
FUNDC2	ENSGALG00000029585
FURIN	ENSGALG00000008341
FUT10	ENSGALG00000015399
FUT11	ENSGALG00000005169
FUT4	ENSGALG00000022718
FUT8	ENSGALG00000036443
FUT9	ENSGALG00000042116
FXN	ENSGALG00000015108
FXR1	ENSGALG00000008864
